Week id,Unit Volume,Price,TV Spend,Print Spend,Radio Spend,Paid Search Spend,Paid Social Spend,Shopper Marketing Spend,Non Trading Desk OLA Spend,Non Trading Desk OLV Spend,Trading Desk OLA Spend,Trading Desk OLV Spend,Email Spend,Linqia Spend,Linqia Shopper Spend,Digital FSI Spend,Newspaper FSI  Spend,WMX Spend
1,985259,17.49,726337,22986,0,55432,23260,0,50136,0,79003,12646,2386,0,0,0,0,0
2,1367286,17.54,698413,22986,0,77326,7162,0,27368,0,88510,12112,6154,0,0,4400,0,0
3,1297843,17.59,610776,22986,0,84728,6642,0,37969,0,68250,11552,5271,0,0,26000,1255000,0
4,1233077,17.50,656865,22986,0,86626,3397,0,39472,0,49864,11311,16865,0,0,0,0,0
5,1507481,17.86,803211,34019,0,84499,2882,0,25806,0,68749,11246,2611,0,0,201400,0,0
6,1421993,17.00,650643,34019,0,90869,11603,0,57074,0,96876,10989,9891,0,0,12500,59600,0
7,1255010,17.96,595973,34019,0,87907,0,0,35979,0,93737,10822,10468,0,0,55200,0,0
8,1667214,17.68,742144,34019,0,91721,0,0,84165,0,94104,10853,6495,0,0,16200,1248300,0
9,1260871,17.35,719284,34019,0,69680,0,0,57190,0,88175,11059,1669,0,0,38500,0,0
10,1178165,18.60,674126,26664,0,93744,0,0,27318,0,87093,11353,14276,365,0,0,0,0
11,1335391,18.51,684684,26664,0,97387,14764,0,41084,0,84863,12902,7172,279,0,23300,0,0
12,1925834,17.48,628309,26664,0,88021,40260,0,25997,0,85877,14427,2451,192,0,154100,1978900,0
13,1205933,18.26,502735,26664,0,80338,38239,0,68014,0,93232,10474,6397,262,0,0,0,0
14,1751367,18.40,377468,101931,0,80895,7885,0,56383,0,123757,14169,5043,7379,0,19200,12500,0
15,1567174,17.88,367880,181483,0,74437,12176,0,23919,0,148013,18044,3541,7307,0,0,400,0
16,1527253,18.03,322421,145384,0,73850,19194,0,42669,0,135499,18516,6544,4042,0,0,0,0
17,1870682,19.03,325420,198247,0,76016,35955,0,31598,0,154988,21227,5771,3713,0,7500,1370900,0
18,1426446,17.96,349979,79000,0,71006,20273,0,31455,0,176663,33293,3711,1511,0,64000,0,0
19,1919983,18.52,337699,150169,0,74909,65127,0,34836,0,204844,49701,4831,4528,0,24600,0,0
20,1593803,18.24,368399,70618,0,65725,12593,0,56641,0,160198,46064,3423,8679,0,0,19200,0
21,1573203,18.05,322421,141787,0,54523,12221,0,51603,0,154890,44973,6162,6916,0,0,0,0
22,1709621,17.92,408924,70618,0,49169,20657,0,16970,0,130781,27536,5654,4827,0,2400,0,0
23,1329604,18.37,319280,87559,0,58145,16053,0,65376,0,136701,39424,2942,0,0,7800,0,0
24,1389394,18.59,319280,87559,0,53461,68143,0,50093,0,185904,36935,3522,0,0,3000,300,0
25,1380815,18.55,313140,52489,0,67892,53341,0,34836,0,178581,36277,6175,0,0,7000,0,0
26,1065683,18.13,6140,52489,0,20858,39071,0,34165,0,76481,25181,2818,0,0,0,0,0
27,864161,18.67,0,0,0,10639,7184,11864,48921,37,2969,14126,2837,0,0,179300,0,0
28,1176403,17.93,307995,0,0,76396,0,4234,58752,3049,0,0,2042,0,0,45700,0,0
29,1346416,15.53,307995,0,0,76048,0,3807,71727,3862,0,0,6473,0,0,88800,1190900,0
30,1356012,16.94,307995,0,0,79050,0,5218,74997,2900,10415,0,1644,0,0,0,255900,0
